24200087-c4f5-44c2-8416-0a716ca68927 NCL	TIKOR
878f6af4-e399-41ed-bd89-b6ab78386db5 NCL	YBCTO
7e571032-42b2-4ca6-aa93-5e6e5421e1ee NCL	CJUHK
a0bfcebc-b602-4e69-bde4-d75d54e24bb5 NCL	MFMCP
39edaed7-ce34-4f47-8241-ab8a9ce389c8 NCL	XHINT
ddc14a43-dd2d-438c-a1c0-9ed1498835c5 NCL	GGIUF
449ed21f-95f7-4bf0-9326-ae578519e66c NCL	CGNIW
dc5c0f18-08cd-4497-8138-3170e02217fe NCL	KTGOS
0efbbfef-6887-4b26-940a-c33034492085 NCL	WTMAI
c713aa5f-07e6-412f-9108-5450cb1a68ae NCL	KRCQV
0e265e87-c0d1-41db-bc71-31b89668bf36 NCL	FKBLJ
5fa165d2-0064-47e4-a8b5-071ea759996b NCL	SEJRJ
67048dc9-7841-45eb-a9a6-563f10029a75 NCL	BSDRO
12fa49da-3564-401b-a140-8fb39d49fcd4 NCL	PSDGP
7809c710-19d6-4b91-95b2-8f87a93b2a63 NCL	XXXTG
c5666ad1-be4a-4a4e-b353-04f100e450f5 NCL	ONCEY
2067b984-03a4-433d-9903-ed4481db7947 NCL	VXKIJ
a27e3c74-2f9f-40d4-8b41-aed8d0d85dd1 NCL	LYXDG
a3ccfd40-f2e6-46af-8fc1-33211355a39a NCL	GHJYG
fddad390-4ece-46a1-9ef3-30023f9c2b9c NCL	COSRJ
ef4cfeb3-ebd5-42d5-855f-15504605eed2 NCL	AVDJO
87d41e6e-efe5-44ee-8454-1fcaacd20753 NCL	KPGTH
738c900d-e288-4a90-a676-457b9c3b79dd NCL	HJCMH
3c9ee511-1223-4efc-801e-262e74f8f1ad NCL	RUNGP
745603c9-905a-457b-8f5c-a2e205e4a97d NCL	NISOE
2b53a518-d170-4aa7-a008-2e2c1087fb95 NCL	DYXKL
3ea55798-ecee-4128-8fa9-e7038066b62d NCL	QYHMW
0d733c78-ee6d-4f98-a997-933153ce0c15 NCL	UORES
c27bfbec-19b9-4313-b54f-a0c2bdd1a320 NCL	MRECQ
4b8e1e9c-70bd-4dfb-8984-4e3fc392b8b7 NCL	OKWCU
b5f3ccc2-29e0-4f89-8231-3231d8053e9f NCL	HSFNA
a45806d1-445f-4525-9892-69072f7f7a03 NCL	GGTKD
75a685e2-3d44-410a-a403-948d333450a9 NCL	BJEOC
4a432084-7d6e-41b1-a71f-87509d49f1ed NCL	OEYXN
1ffc0ad1-c5b3-4f66-8e50-0444774f19be NCL	RAOGD
e1ff54c6-9621-4b69-a31a-3481f94fe7a5 NCL	XMHWD
b9d85d93-ba52-42ca-834f-290a55d4e6a4 NCL	FTRAI
7707adab-3b45-4ce0-afe9-ca9fabe798e9 NCL	HIGKB
1a3c6be2-8194-479a-ab5a-eab454ba036d NCL	BEKSK
6e0c7715-e06f-4260-b59e-e43a124d85e0 NCL	OUEJN
f78f8c1a-b2b2-4d5a-8752-c30e29b5d531 NCL	HVEOW
6f71fc5b-269a-43a0-8079-a4e842e41a31 NCL	DLHPH
5c951bd9-a043-4fbe-a2e7-7bb9edf00667 NCL	CKFXA
1985524a-395f-42b8-b89a-1e685b78b86c NCL	VWLVP
ae5ff9c1-448b-4614-ac9a-e1fc83ce19f7 NCL	FWPLW
d8d353cd-b3e3-41f7-a83a-5d39f2ef2e72 NCL	HFMMH
9f2982e8-6522-45af-8fda-d1b7a8105942 NCL	CWDVL
57b96e7f-876c-4db7-892d-46e8110a4ef7 NCL	NXAHT
ec5024c8-5e63-4fbf-a434-02b7bf54bc51 NCL	GEGXL
7bb2f25b-5803-4ef0-ba67-6f3daf6829c6 NCL	LUDWT
b2bc43f2-79a1-4d17-adfc-ff870e4ff28b NCL	ETSWF
6fed3019-2540-4194-abcd-a06432962232 NCL	QOYFC
79813dfd-f078-4890-8ef7-bbbcaa8ba483 NCL	OMEUS
abb9f5cf-9f05-4f3e-9816-441eb15ec1eb NCL	OMWPE
4abd4ba9-494c-478c-aa12-cc424b57c2c1 NCL	DOLMC
d2baa1ff-cc41-42cd-a7da-9f1e872eeb7e NCL	FAMWV
9bb6f0cd-9fb5-4a32-8046-f7b5db0ac850 NCL	KAHXO
2bc94aca-9fa4-4d61-8a08-744260338705 NCL	QCBQB
56a909d8-593c-4819-a63e-a0843032973d NCL	QYIDJ
666bdca2-1da2-4b0a-bd41-b244e32da46f NCL	WANXU
aee5529a-60cf-46f9-b95d-b5ae6bfd3526 NCL	PQFXR
52ade69c-1f9a-4b39-b4de-b49d69b93a98 NCL	QNYWG
a863ad7c-7324-4f55-a098-26afb8eb00f2 NCL	VRYTJ
4eef0570-251c-41d4-8b0d-fcc36891ead3 NCL	UFROE
5656de9d-9838-4f46-a23e-efc5fd42153f NCL	JLHMY
c76830f0-ea34-4a61-aa6b-7a7c7db6fcd5 NCL	CGJHF
a27cb5d9-e9ba-4a3d-ae27-500c43c2baf3 NCL	NFSEW
d9ba0732-6593-40c9-82c7-879f7d635bb1 NCL	IVOBR
34c00a8d-6a2a-4606-aa4f-8fa12a6e685d NCL	JVTYP
1a8d382c-d781-4f0f-9975-f0c3a4cd5b70 NCL	REXRN
cc277795-ed63-4fec-b3e9-e2fbe0168f6e NCL	LVERV
8e947fea-01fa-4919-93fd-bcc92b719fa6 NCL	FNUFC
515db69e-8061-4ad4-bf65-9103c98ef1ab NCL	JWFBH
9466b1d0-efcc-4acc-b2ca-fbbdd48d2d5f NCL	PDAHK
f9bb919b-fadc-4035-acd1-fca8f2c320e7 NCL	QPVXP
38db7920-0263-4208-9073-73327176cc1e NCL	ASOOX
24b54860-d4ef-4be1-9c57-fab6360c23ce NCL	BABKD
c50d76c5-1195-4ff0-b3b0-c039b3b3d332 NCL	OQJEX
0ef7dc63-a362-4068-8af0-db7ed2cfc8bd NCL	TYYID
598af242-5fc4-4569-807b-2f036d1c855b NCL	MPABM
57df7138-580a-4c2d-a6e1-0c9b102e6b48 NCL	YHKRY
48a4e845-6abf-4c23-bd79-28b94ab4fce8 NCL	XOTJY
e40cb640-3592-4d49-8c8b-acfe49df80e1 NCL	GNABW
c2c5d16d-ffbf-490c-a016-d1d87c2b4dd5 NCL	WFRUF
6aaeda67-5621-4ad5-a4fc-5f795496a832 NCL	IALYK
b8df8099-4e8e-4156-96bc-617949324db7 NCL	LLCMM
13a071da-9f57-4b8a-ad27-8e4d7a2fad23 NCL	NAJTE
b199947c-3a2e-4c81-af8e-a5aab859440c NCL	NDCPT
1c81f37b-809d-4746-9b46-f9edaf1865a6 NCL	UKRKT
9650a19f-4afe-4770-aca8-f46f9ac245ff NCL	FQVDS
5a18fc4d-f46b-468b-8db9-3a6c3f59d5cc NCL	IXQWA
c6128e2f-73ee-4789-8651-0ddbd81fcf96 NCL	PJHOC
9a7471e5-54f9-4a98-a832-949f30b7c0a2 NCL	OOMXO
98e3537f-b768-41d4-9b82-c7240d5b474f NCL	NGAGL
a2e5701d-f7ed-455b-8d1f-02d20fbda898 NCL	UBAUQ
1c74d774-a5cf-4a04-99db-ab84ee3bcc00 NCL	JIWDG
fad97d85-6df6-4c0e-9801-00e3f0c801d0 NCL	JNCVT
68d40d1b-4978-49b5-9782-60fce6c9f5f8 NCL	LCUPQ
5d536fa3-55c9-433c-9168-7b8adfc77c53 NCL	QBQKF
cd31f050-8802-430e-a5b6-880c5ba31416 NCL	DPAVP
8288a233-94c9-47c4-9a43-c2510995b4d5 NCL	OJQGU
25a3be0f-1b02-4097-a071-8b388668fc17 NCL	HRKUP
e7cd11f2-e7f0-4240-98d8-bfdd8847d6bf NCL	GYAEV
4fdd5679-39e5-4dbf-953a-1c6d6ce35c6b NCL	YDWOM
d798c34f-9c04-4b78-a3f4-ee7569943695 NCL	VWGHR
3b3e9c7f-6025-4ce4-ae5e-8d1f9c0cd2d3 NCL	PJUIS
bad8df97-2def-4510-8f83-b6a23d4ef463 NCL	HETUG
5b93edfa-749d-4624-b356-4f72878c3355 NCL	XYCQX
f12e7936-1b24-4a51-b9dd-7def030b1408 NCL	DBWBG
09108d9e-931f-46de-a8eb-44b5550d899b NCL	KNAHA
7cbcb29e-df2e-4dbc-ba14-b9d5e8fd2a02 NCL	AAYEG
877f3fa2-ea57-4e9d-9fa0-f5a828b15e0a NCL	REQJU
91d96cb6-ef20-42e1-b9d1-4a96db2d9303 NCL	WRATW
ae21c554-85aa-4323-b8c0-a0203ec226d8 NCL	AUBYS
6d1b4112-fb9b-4ee8-8903-ee90fe226c03 NCL	DDYSH
ee926b13-fd24-483d-808d-90e7f903b784 NCL	EQIYR
28897ff8-d556-4a81-b94a-a93d257c5e03 NCL	DPWGE
9aa37b8b-b437-4850-8581-18aa9d86e98b NCL	BIHPU
18ca9893-b91c-48f8-9b18-f8152decf401 NCL	UNPED
7a706f6b-05a9-48eb-b089-07e49d23eef0 NCL	VYJVM
9f13446e-e114-4787-8a69-7a9dcf113f6f NCL	QAWOW
5a90fb3d-aa0a-424c-9f2c-1e3e86a3edcf NCL	TXNEM
70827a19-04a1-48d0-b3a4-0875732109f2 NCL	ICEHO
48f410d8-4e8a-47a9-8c84-1b3b1d480ae5 NCL	RTSIF
d2e5aba0-eb47-4827-b881-acdb4c62c980 NCL	VGLNO
2ef5046e-6082-477c-baf6-dcaf1e342eb6 NCL	KFIYQ
2e1fa84f-2b61-465c-9d44-e092bbfa5f49 NCL	FKPLR
e04436a4-e6fa-4c2c-b225-6331e52df424 NCL	ELDVO
ef68366e-1dd4-430a-9abd-bcc54ba5c07b NCL	SYDWC
038eefa2-2e63-42ca-863f-e57aec15f010 NCL	XNFKU
f7932d31-9084-484c-8d5e-27636fdc9cd5 NCL	TTNGC
290c26df-c457-478f-86fc-8ae08a1bc6f5 NCL	ILRWL
b9bc9dd8-f6b8-4313-91b6-1185d35e9585 NCL	XHKVF
78b1f22e-43f7-446c-90ab-9ca021de7741 NCL	UXTDP
a4816360-4722-4912-a31b-54aaf0070e76 NCL	THMFB
3920c5b8-1595-486d-9388-18d9483bc94a NCL	RAHQO
0715d45d-9c40-4ed6-a263-71f71c005cbe NCL	RSHIA
e3b3e2c6-684d-4d40-8994-38a88027c5c9 NCL	GRDIX
c3c606a2-f249-4973-91e6-e1b0c87ee701 NCL	XUTFT
dbfec92a-2fcc-4750-9280-a849b0c8c747 NCL	TMBSE
be23d1c7-f0b7-4bc4-bd42-f2e79d6b2378 NCL	CBOWU
27c3a4fd-fb3e-4e78-921f-326c7a563078 NCL	UOPKG
a4497377-de78-4341-872c-ede01242021e NCL	ACKIQ
9ecf1331-3aae-4971-9a03-3ddccb1ea8f9 NCL	QQCIK
9e936c8b-1935-4ceb-9e0e-62f66efbda84 NCL	PNHQL
a085dcac-97b6-44fe-af18-a19032444301 NCL	FIAED
d73111a9-55d2-45b4-85cd-c389833b1d2b NCL	KBBVL
805515aa-091a-4074-99b6-918ece18d1b2 NCL	CEPMF
62cc0356-6274-4c6b-ae25-1ec79d4e2f02 NCL	EECVA
a692f993-a065-49fd-b187-32cf8e1a120d NCL	QGFTR
9395b10c-8eb5-4c34-96cc-c51d159903db NCL	CSNTP
baae5138-20d2-40ca-a54d-9761db6d8370 NCL	RWBGE
21fd3080-bed2-42e1-b2e5-b3bf9ec2690f NCL	OECKV
8456dce1-c983-4a64-82dc-e3062e0aec47 NCL	UGDNB
c6e05bd3-3d34-4c67-a740-149845e0f08e NCL	PIDDU
bf86a59e-e321-4f61-a62b-13fb43c9dcbc NCL	JHMEF
7296859c-d4dc-4b87-b1b6-4ec9b736d2ca NCL	LVJUT
244bfab9-3717-48ab-8051-dab7d2f22840 NCL	APHWM
6e33c54d-63e9-4151-82b9-65fd784874c5 NCL	JVHKK
566b7e0c-e4ad-4bfd-98ae-549f81244179 NCL	XTWGX
4d6a93a4-3754-43fc-9178-79badcce3b2e NCL	ELKCQ
5f35b35a-1994-4719-bc75-8a7a98abef6d NCL	CJAID
49a91783-5f9f-4f18-ae5b-70b6b6e7539b NCL	SNDMC
e780b0df-a0c0-446f-8357-0402c10462ca NCL	GGQAV
f60c3e6b-58db-4462-b474-ec049a14762a NCL	FEVRH
de38fe17-91f6-478d-860e-87163841a702 NCL	QSRHY
98ecefc9-b09b-48dd-b16f-dd5dfbc34407 NCL	HIXDN
ce064740-a7c8-4e06-8b86-b0059b949504 NCL	SWRGJ
558c58d8-8164-41a8-b974-6a9a5e772d1e NCL	ECHCB
927842ba-52a0-4082-8fca-e9fc65fc6942 NCL	MMKDW
2b9fa83a-37df-436a-acb2-c4dca80b8671 NCL	VLQYM
43265193-e155-43a1-9988-901a9ae4c652 NCL	QGQVF
b186d7ca-9a74-4bb4-97b0-d139a3b85c42 NCL	TAGXD
7f00646e-2273-4850-bc29-ce89d1e5deb1 NCL	SRMXO
1dad0b59-93bb-45f2-acfa-a902d4e84d23 NCL	LRAWP
ab09c966-524b-4864-a395-1caad1f374aa NCL	ORPDC
68ea43c0-dd46-41fc-a915-dd7d8fe9137e NCL	FSWKJ
cb5a69dc-428f-4e27-9acf-745810c4004e NCL	WEBTR
6f13ea22-16b5-4553-a2ed-b4ef4d593672 NCL	XQROA
95730291-245f-4c74-a8eb-78bb47439fc8 NCL	NMXBW
dc332f0d-aac7-488a-8d33-1199110d4832 NCL	EXOGA
4a369549-8f05-4d75-8d39-3e75cbb6ac92 NCL	GOAKY
7765f1e9-811f-45c6-866d-023fb795cb80 NCL	ROCPA
614dd5bf-7aa3-4fdb-aa8a-5a05c18820d7 NCL	HVPFN
acc1f049-b0bf-419c-a0c3-b1f304f2c5ad NCL	GPCQQ
6568f444-394f-4b9f-b6d0-65110ffe5a99 NCL	BTAFB
e85acc31-770a-49b5-9524-2fd7d5c3b7dc NCL	EHFRK
6a7a6d2b-c321-4d4e-9343-8ad7d3bae889 NCL	RTGIE
543a20b9-42fd-4096-845b-a4ddca83a372 NCL	DBBXY
f96b2062-4a7f-4a0b-9c4e-8de9d79e07ec NCL	GIDRP
5d77fed7-d01e-4876-905d-d802604aa4d8 NCL	BEEGM
fdf5b07a-07d9-4192-9b5e-574a06dcf9d5 NCL	PJPVJ
c0b105dc-827f-42eb-b610-395ec5f118d9 NCL	KQGXP
a79b8991-5351-40e7-b06b-eedfd13bb2d7 NCL	NSJRV
49a78395-8de0-41a5-a591-5ad2671e47fc NCL	VTWGP
c607be93-958e-4581-8772-73909f9ed421 NCL	LKFGS
264d9f1b-b385-40c2-8bd1-1365ecb30b26 NCL	FBBWA
17fd3469-b441-4e70-b655-92c9a97519e7 NCL	PVJFO
19410c2d-e452-4d62-8386-acc4612f3847 NCL	KDPON
70b47294-3503-4e01-80aa-77caeec12c2b NCL	LGGIO
a063e7b5-a8d7-43fa-adae-c41edfa8415a NCL	CQXMW
9ae7197c-5b0c-4e5d-a261-58de25b87e49 NCL	WYHEX
db31cd6a-e36a-44a9-a237-247a50922ba1 NCL	NRITI
4d2f8cee-d6e9-4c32-8e64-9a650d38d16d NCL	LKESB
45eada7d-5a76-4103-8541-544ecc1e1310 NCL	JQFWG
337235e5-48df-41fe-9a9f-e0d6b0f9176c NCL	FEELW
cc94cc7a-1f7f-43aa-a57d-488f1b4b073b NCL	MAAXT
e5091a3a-4aad-4a2b-b3ae-184e49717622 NCL	IENPN
bdf09735-50e3-455a-97f4-001c2900514a NCL	SYSSC
1ac87943-e90f-4533-aa62-95a38ef97718 NCL	EQOOQ
1a34a1e7-bc76-4bea-bd6d-ea6a7229173a NCL	BBXUI
9d10b8a6-f947-409f-bba2-bb577dc17d83 NCL	SYULT
6ffaa18b-b955-4aaf-91c6-91abe71a6ea5 NCL	LDNUY
045b0df1-86ca-4037-8f5a-c749c552fc50 NCL	KNORG
33827d56-79f3-46fe-b9ac-5565f1a7a7c1 NCL	UFKJE
16d8a06c-e220-4abc-b144-37c5008f1b0e NCL	EMWQG
62e55978-2592-4c79-b198-ac190ac25cb1 NCL	RQTPS
1f677287-ee35-429e-aac5-b185435aad4f NCL	XMQIU
69b16d0b-4132-4ebc-b990-284396a7ffea NCL	HXMWH
6cb8abfa-7524-42fe-b645-a62697d64df2 NCL	XMVBM
085456a8-02ed-4b6d-9cef-c70a594eaa61 NCL	BAVWY
d09c78d5-d7a9-4838-b549-33298cb6627e NCL	CWBXR
c938425c-8a8e-4f9f-b47c-964882f72bfa NCL	LQLJP
a93b9433-d7c8-4e22-bce3-26091fcaaa1d NCL	KRBET
150a3cf3-98bb-4e99-91ce-362476874ee0 NCL	OKEVQ
73fcee28-f76b-48ff-9e28-c5c436ed6543 NCL	JTGDN
a028ee9a-3911-4164-a631-e79e797e4b93 NCL	BSBKS
53238cf7-3ecf-440d-b95f-fc3a5100040b NCL	XMKEE
82f021ff-344d-41b8-8007-a298e7f17e44 NCL	KUMLP
5f6f80ef-3024-4356-bc76-46f40a5de300 NCL	DNDES
475441fc-f52e-48c5-9d3e-bcc5bb2f5991 NCL	KAROK
b0efa610-7d8f-44e5-849b-70f5164ec306 NCL	RKHFV
eafa9ec2-feb7-4637-a517-447b9cf7e7d2 NCL	LXMVI
168b8923-bd5a-4f6a-95a1-515f5582cb44 NCL	NBSJE
6a7b6989-6e54-4d29-bbcd-d265d9674146 NCL	WYSSJ
ab1dd48a-0e33-44c3-a744-a126dd116db8 NCL	KBWIK
6ef1bcf6-833e-4ecd-b4b5-3825d13b9171 NCL	VILWJ
8d21ba3a-7998-4e4c-a88e-d2b833a46859 NCL	YNNOG
d7ef4d65-a970-4035-ab49-782e94bfbba8 NCL	VHCQK
d35a9d64-5f52-4590-a3a1-9a7511e92f7b NCL	BWUTN
1024aeb8-15bc-4a63-974e-ec8d43a441ab NCL	IQWLU
f9abcd42-5182-4f46-a901-d04a91960af2 NCL	JQYAA
88e4f33e-f7c1-4c22-bb13-d0e88da3264e NCL	QRSMU
3c7e1c24-5ba0-497c-a1cd-5a1480ea5540 NCL	MVYIT
ccc8e884-c6b8-45c4-9c8f-8bccfa0227e4 NCL	BCBJW
3c723c63-a1fc-4f5c-b7fa-9a7038a3d43f NCL	OLFJJ
7ccc7458-a3a0-40de-a3dd-f6290f4e4ab9 NCL	TSCKB
dec7a232-c2db-4ed7-a42b-968cb26411b3 NCL	LKNOX
1860aa1c-4a37-4f75-83af-45bf021a004f NCL	EFAAA
391603f9-d6bd-4b4d-b9d0-1cf2389983ab NCL	PGXXX
6cd4b637-fa32-4923-b2df-817ab0211f4e NCL	FPJWW
25caa390-0a02-47cb-99ef-6a6adac3b4dd NCL	PULID
845a98b5-beea-48ac-9184-77865b716585 NCL	GXBNK
8dbfd14d-6cdd-412f-b622-c803394890b9 NCL	WFOQF
c7c28b96-4cc9-4fea-b651-670b5ea90030 NCL	NIOIE
31bb5291-aab9-44c8-b0d8-4bd44fc09d47 NCL	HXSQS
458b3e71-c8c3-4ec1-a97a-34e64581db20 NCL	INKKW
1ecfab03-bcab-46b6-b79c-65023b2d850c NCL	ICHKV
02985a17-3fb6-438b-a6bb-b674c668cd44 NCL	BOHXH
77ae0810-f40d-4157-996a-ba22ad06c29b NCL	NNOXA
b037c383-63dc-4ab8-abf2-e35a8c933719 NCL	BSDPN
8d47d2d2-b907-4684-a8b5-b7d256f74855 NCL	QXIEH
2540290b-8290-46c4-a762-8b81be98f467 NCL	GPGDD
bf6cdc74-a31b-4a32-8281-f7562fdd127e NCL	RXCUD
80363910-7990-41ac-ba37-146437da2b78 NCL	IURFH
224aecef-46db-4bbe-9f34-2a5fabd2e738 NCL	NCTLK
bcff4b72-fc81-4b60-aa13-5a91016881af NCL	LFHSN
84b2fcf4-53a5-453a-9fc4-3a4e522c91dd NCL	RTNVG
6ba785b2-11f4-48f9-9e82-d2750e35e0a0 NCL	UPQLS
af5d3bec-4578-48fd-8050-7c4baab47fc1 NCL	HDXUY
174a7e9a-bb23-4e39-8e1a-7a1454e9e060 NCL	GDGUF
e3032da2-997e-40ce-88ae-c4e02938dff2 NCL	WLWTY
b2c100c7-e4cd-4ff1-aa07-7a7af24d29e0 NCL	NJOHN
f81a928b-994e-4f62-93dc-a21061eeee27 NCL	KDKVK
74f9cdaa-e050-4c69-89a8-7e5ac851d926 NCL	UULKS
26e363f0-bcfc-45a5-802c-e7b5253e67bd NCL	FYYVS
66ce1d28-be42-45ee-99be-f4249cb438fd NCL	PTJQH
1aeabd8c-291c-4111-974d-d596640e6c2d NCL	PSBUR
bf1dee38-3e4a-4cf5-8ed3-29ca4bae832b NCL	SWQRL
1c7abad0-c733-4e40-a708-e66aa43bc45f NCL	OXYAV
c503eb5e-bb6a-4130-ba78-b55a8031b928 NCL	SGBXW
d296629c-69e9-403c-917c-765431757ada NCL	JMYXJ
9d95962f-69b2-4f39-bb03-eadb2856da26 NCL	IGVUT
f18de4e5-c9c3-4381-a172-89a75ecedba1 NCL	FGNAX
693b6f68-4717-4940-8dc9-262444f414cd NCL	LPAWX
87590641-3b8b-4a85-8adb-0903a3e834e1 NCL	PUOMC
a3c7ea6a-b21f-4352-b070-4d3efd7f1b7d NCL	RYODA
b2db1b99-370f-4c8a-9747-5823967c45e7 NCL	FDJUT
7c5cebe7-37cf-42bc-919d-90acd8a2d900 NCL	AWCTO
